name;Gold;Silver;Bronze;Total
Senegal;0;0;0;0
Seychelles;0;0;0;0
Sierra Leone;0;0;0;0
Singapore;0;0;0;0
Solomon Islands;0;0;0;0
Somalia;0;0;0;0
South Sudan;0;0;0;0
Sri Lanka;0;0;0;0
St Vincent and the Grenadines;0;0;0;0
Sudan;0;0;0;0
Suriname;0;0;0;0
Tajikistan;0;0;0;0
Togo;0;0;0;0
Tonga;0;0;0;0
Trinidad and Tobago;0;0;0;0
Tuvalu;0;0;0;0
United Arab Emirates;0;0;0;0
United Republic of Tanzania;0;0;0;0
Uruguay;0;0;0;0
Vanuatu;0;0;0;0
Vietnam;0;0;0;0
Virgin Islands, British;0;0;0;0
Virgin Islands, US;0;0;0;0
Yemen;0;0;0;0
Zambia;0;0;0;0
Zimbabwe;0;0;0;0
